Name,Parish,Concelho
Cruzamento do IC4 com a N125,Almancil,Loulé
Cruzamento do IC16 com a IC17 CRIL,Encosta do Sol,Amadora
Cruzamento do IP3 com o IC2,Trouxemil,Coimbra
Cuba,Cuba,Cuba
Culatra,Sé,Faro
Deserto,Alcoutim,Alcoutim
Dunas de Vila Real de Santo António,Vila Real de Santo António,Vila Real de Santo António
Eixo Norte-Sul - Alcântara,Alcântara,Lisboa
Eixo Norte-Sul - Campolide,Campolide,Lisboa
Eixo Norte-Sul - Fim,Camarate,Loures
Eixo Norte-Sul - Radial de Benfica,Campolide,Lisboa
Entradas,Entradas,Castro Verde
Ervidel,Ervidel,Aljustrel
Espiche,Luz,Lagos
Espírito Santo,Espírito Santo,Mértola
Estação VC Fashion Outlet / Modivas,Modivas,Vila do Conde
"Estação Aeroporto, Metro de Lisboa",Santa Maria dos Olivais,Lisboa
Estação Alameda,São Jorge de Arroios,Lisboa
Estação Aliados,Santo Ildefonso,Porto
Estação Alto de Pega,Vila do Conde,Vila do Conde
Estação Árvore,Árvore,Vila do Conde
Estação Azurara,Azurara,Vila do Conde
Estação Baguim,Baguim do Monte,Gondomar
Estação Bela Vista,Marvila,Lisboa
Estação Bolhão,Santo Ildefonso,Porto
Estação Cabo Ruivo,Santa Maria de Olivais,Lisboa
Estação Câmara de Gaia,Mafamude,Vila Nova de Gaia
Estação Câmara de Matosinhos,Matosinhos,Matosinhos
Estação Campainha,Rio Tinto,Gondomar
Estação Campo 24 de Agosto,Bonfim,Porto
Estação Carolina Michaelis,Cedofeita,Porto
Estação Carreira,Rio Tinto,Gondomar
Estação Casa da Música,Cedofeita,Porto
Estação Chelas,Marvila,Lisboa
Estação Combatentes,Paranhos,Porto
Estação Crestins,Moreira,Maia
Estação Custóias,Custóias,Matosinhos
Estação D. João II,Mafamude,Vila Nova de Gaia
Estação da Azambuja,Azambuja,Azambuja
Estação da Casa Branca,Santiago do Escoural,Montemor-o-Novo
Estação da Guarda,Guarda,Guarda
Estação da Luz,Luz de Tavira,Tavira
Estação da Parede,Parede,Cascais
Estação da Porta Nova,Santa Maria,Tavira
Estação da Póvoa,Póvoa de Santa Iria,Vila Franca de Xira
Estação das Mercês,Algueirão-Mem Martins,Sintra
Estação de Abrantes,São Miguel do Rio Torto,Abrantes
Estação de Adémia,Trouxemil,Coimbra
Estação de Afife,Afife,Viana do Castelo
Estação de Agualva - Cacém,Agualva,Sintra
Estação de Águas Santas/Palmilheira,Águas Santas,Maia
Estação de Aguda,Arcozelo,Vila Nova de Gaia
Estação de Águeda,Águeda,Águeda
Estação de Aguieira,Valongo do Vouga,Águeda
Estação de Aguim,Aguim,Anadia
Estação de Albergaria dos Doze,Albergaria dos Doze,Pombal
Estação de Albergaria-a-Nova,Branca,Albergaria-a-Velha
Estação de Albergaria-a-Velha,Albergaria-a-Velha,Albergaria-a-Velha
Estação de Albufeira - Ferreiras,Ferreiras,Albufeira
Estação de Alcáçovas,Nossa Senhora da Tourega,Évora
Estação de Alcaide,Alcaide,Fundão
Estação de Alcains,Alcains,Castelo Branco
Estação de Alcântara-Mar,Prazeres,Lisboa
Estação de Alcântara-Terra,Prazeres,Lisboa
Estação de Alcantarilha,Alcantarilha,Silves
Estação de Alcaria,Alcaria,Fundão
Estação de Aldeia,Castelo Bom,Almeida
Estação de Alegria,Linhares,Carrazeda de Ansiães
Estação de Alfarelos,Granja do Ulmeiro,Soure
Estação de Alferrarede,Alferrarede,Abrantes
Estação de Algés,Algés,Oeiras
Estação de Algueirão - Mem Martins,Algueirão-Mem Martins,Sintra
Estação de Alhandra,Alhandra,Vila Franca de Xira
Estação de Alhos Vedros,Alhos Vedros,Moita
Estação de Almancil,Almancil,Loulé
Estação de Almourol,Praia do Ribatejo,Vila Nova da Barquinha
Estação de Alpedrinha,Alpedrinha,Fundão
Estação de Alvarães,Alvarães,Viana do Castelo
Estação de Alvega-Ortiga,Ortiga,Mação
Estação de Alverca,Alverca do Ribatejo,Vila Franca de Xira
Estação de Alvito,Alvito,Alvito
Estação de Amadora,Mina de Água,Amadora
Estação de Amial,Ameal,Coimbra
Estação de Amoreiras - Odemira,São Martinho das Amoreiras,Odemira
Estação de Âncora-Praia,Vila Praia de Âncora,Caminha
Estação de Aregos,Santa Cruz do Douro,Baião
Estação de Areia - Darque,Darque,Viana do Castelo
Estação de Arentim,Arentim,Braga
Estação de Areosa,Areosa,Viana do Castelo
Estação de Arrifana,Arrifana,Santa Maria da Feira
Estação de Arronches,Assunção,Arronches
Estação de Assumar,Assumar,Monforte
Estação de Avanca,Avanca,Estarreja
Estação de Aveiro,Vera Cruz,Aveiro
Estação de Aveleda,Aveleda,Braga
Estação de Azurva,Eixo,Aveiro
Estação de Baixa da Banheira,Baixa da Banheira,Moita
Estação de Baraçal,Baraçal,Celorico da Beira
